file_name,formula,atom_num,formation_energy,B_element,X_element,sites,perovskite_judge
ICSD-430096.cif,La8 Bi4 Cu4 S20,36,-1.4967491855555557,['Bi'],['S'],"[12, 13, 14, 15]",perovskite
ICSD-619354.cif,Ca4 Hf4 S12,20,-1.976696742,['Hf'],['S'],"[4, 5, 6, 7]",perovskite
ICSD-280395.cif,Zr2 P4 O14,20,-2.71274939945238,['Zr'],['O'],"[0, 1]",perovskite
ICSD-291488.cif,Ba8 Y4 Os4 O24,40,-2.4515520820000005,"['Y', 'Os']",['O'],"[8, 9, 10, 11, 12, 13, 14, 15]",perovskite
ICSD-416221.cif,La12 N4 S12,28,-2.051341438928571,['S'],['La'],"[16, 17, 18, 19]",anti-perovskite
ICSD-650233.cif,Rh4 Sb4 S4,12,-0.7453965666666663,['Rh'],"['S', 'Sb']","[4, 5, 6, 7]",perovskite
ICSD-604401.cif,Ag3 In3 Se6,12,-0.3424484154166668,"['In', 'Ag']",['Se'],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",perovskite
ICSD-252881.cif,Na Cr Te2,4,-0.1530735533333329,['Cr'],['Te'],[1],perovskite
ICSD-426618.cif,Li4 In2 Mo6 O16,28,-1.9812652847619048,"['In', 'Mo']",['O'],"[4, 5, 6, 7, 8, 9, 10, 11]",perovskite
ICSD-427048.cif,Sb8 Ni6 F12 O12,38,-1.629920508026316,['Ni'],"['O', 'F']","[0, 1, 2, 3, 4, 5]",perovskite
ICSD-638009.cif,Ge12 Te12,24,-0.0757156241666662,['Ge'],['Te'],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",perovskite
ICSD-268018.cif,Rb8 Co4 F24,36,-2.415445687222222,['Co'],['F'],"[8, 9, 10, 11]",perovskite
ICSD-410924.cif,Fe6 Br18,24,-0.6908701608333333,['Fe'],['Br'],"[0, 1, 2, 3, 4, 5]",perovskite
ICSD-416038.cif,Rb3 Na Ru2 O8,14,-1.3398601882142858,['Na'],['O'],[3],perovskite
ICSD-638851.cif,Hf S2,3,-1.829953803333333,['Hf'],['S'],[0],perovskite
ICSD-401590.cif,Zr4 Se16 Cl24,44,-0.9647128633333334,['Zr'],['Cl'],"[0, 1, 2, 3]",perovskite
ICSD-290590.cif,Zn4 Cr8 O16,28,-1.6860960114285717,['Cr'],['O'],"[4, 5, 6, 7, 8, 9, 10, 11]",perovskite
ICSD-600773.cif,Cd2 S2,4,-0.6375040875,['Cd'],['S'],"[0, 1, 2, 3]",perovskite
ICSD-410389.cif,Co9 F27 Cs9,45,-2.42414872475,['Co'],['F'],"[9, 10, 11, 12, 13, 14, 15, 16, 17]",perovskite
ICSD-279600.cif,Pb4 Ga4 O16 B4,28,-1.9123803316071428,['Ga'],['O'],"[0, 1, 2, 3]",perovskite
ICSD-603955.cif,La6 Ni2 Fe2 S14,24,-1.6386638170833323,['Ni'],['S'],"[8, 9]",perovskite
ICSD-300182.cif,K12 Sb4 Te12,28,-0.7914003174999996,['K'],['Te'],"[0, 1, 2, 3]",perovskite
ICSD-416326.cif,Ba4 Sc8 Te16,28,-1.422707069880952,['Sc'],['Te'],"[4, 5, 6, 7, 8, 9, 10, 11]",perovskite
ICSD-608507.cif,Al6 Mn3 S12,21,-1.0222509705665026,['Al'],['S'],"[3, 4, 5]",perovskite
ICSD-281176.cif,Cs2 Cd2 Br6,10,-1.2891533435,['Cd'],['Br'],"[2, 3]",perovskite
ICSD-652075.cif,Se6 Y3 Tl3,12,-1.4058502870833334,"['Y', 'Tl']",['Se'],"[0, 1, 2, 3, 4, 5]",perovskite
ICSD-254956.cif,Mo S2,3,-0.76351538,['Mo'],['S'],[0],perovskite
ICSD-410591.cif,Cs10 Nb4 Cl18 S8,40,-1.6067408269375,['Cs'],['Cl'],"[8, 9, 38, 39]",perovskite
ICSD-433032.cif,Na4 F12 H8,24,-2.060107371041666,['Na'],['F'],"[0, 1, 2, 3]",perovskite
ICSD-619542.cif,Ca8 Si4 S16,28,-1.7093194757142862,['Ca'],['S'],"[0, 1, 2, 3, 4, 5, 6, 7]",perovskite
ICSD-254378.cif,Y10 Mo4 O24,38,-3.1321152273684207,['Y'],['O'],"[8, 9]",perovskite
ICSD-281126.cif,Ba6 Li2 Ru4 O18,30,-1.919066566222223,"['Li', 'Ru']",['O'],"[6, 7, 8, 9, 10, 11]",perovskite
ICSD-281335.cif,P4 F24 O4 H8 Na4,44,-2.260625710205628,"['P', 'Na']","['O', 'F']","[0, 1, 2, 3, 4, 5, 6, 7]",perovskite
ICSD-619557.cif,Ca4 Y8 S16,28,-2.2798809278571426,['Y'],['S'],"[4, 5, 6, 7, 8, 9, 10, 11]",perovskite
ICSD-417711.cif,Sc6 Te3 O18,27,-2.4982096607407405,"['Te', 'Sc']",['O'],"[0, 1, 2, 3, 4, 5, 6, 7, 8]",perovskite
ICSD-280847.cif,Cs4 Se12 Y4 Zn4,24,-1.4379984233333338,['Y'],['Se'],"[4, 5, 6, 7]",perovskite
ICSD-262133.cif,Ba6 N3 F3,12,-1.7080308686458334,['Ba'],"['N', 'F']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",perovskite
ICSD-633323.cif,Fe2 Ta6 S12,20,-1.303287361000001,['Fe'],['S'],"[6, 7]",perovskite
ICSD-653090.cif,Tl20 Te12,32,-0.2758317628124995,['Tl'],['Te'],"[0, 1, 2, 3]",perovskite
ICSD-616134.cif,Ba4 Y8 Se16,28,-2.0004869730952386,['Y'],['Se'],"[4, 5, 6, 7, 8, 9, 10, 11]",perovskite
ICSD-252665.cif,Cd4 Co4 As4 O20 H4,36,-1.3075647522222222,['Co'],['O'],"[4, 5, 6, 7]",perovskite
ICSD-411796.cif,Ag2 Ta2 F12,16,-2.7906731865625,['Ta'],['F'],"[0, 1]",perovskite
ICSD-415874.cif,Au3 K3 F18,24,-1.5078152094791664,['Au'],['F'],"[3, 4, 5]",perovskite
ICSD-603954.cif,La6 Co2 Fe2 S14,24,-1.6839855541666668,['Co'],['S'],"[8, 9]",perovskite
ICSD-419852.cif,Li20 O4 Cl12,36,-1.7211171447685187,['Li'],['Cl'],"[0, 1, 2, 3]",perovskite
