feature,stage,complexity,formula,parents,template_rule,required_manuscript_template,protected_anchor,family,unit_group,parent_families,parent_unit_groups,parent_scopes
MagpieData mode NpValence _B,raw,0,MagpieData mode NpValence _B,,source_feature,False,False,p_valence,electron_count,,,
MagpieData mode NpValence _X,raw,0,MagpieData mode NpValence _X,,source_feature,False,False,p_valence,electron_count,,,
MagpieData mode NpValence formula,raw,0,MagpieData mode NpValence formula,,source_feature,False,False,p_valence,electron_count,,,
MagpieData mode NsUnfilled _B,raw,0,MagpieData mode NsUnfilled _B,,source_feature,False,False,s_unfilled,dimensionless,,,
MagpieData mode NsUnfilled _X,raw,0,MagpieData mode NsUnfilled _X,,source_feature,False,False,s_unfilled,dimensionless,,,
MagpieData mode NsUnfilled formula,raw,0,MagpieData mode NsUnfilled formula,,source_feature,False,False,s_unfilled,dimensionless,,,
MagpieData mode NsValence _B,raw,0,MagpieData mode NsValence _B,,source_feature,False,False,s_valence,electron_count,,,
MagpieData mode NsValence _X,raw,0,MagpieData mode NsValence _X,,source_feature,False,False,s_valence,electron_count,,,
MagpieData mode NsValence formula,raw,0,MagpieData mode NsValence formula,,source_feature,False,False,s_valence,electron_count,,,
MagpieData mode Number _B,raw,0,MagpieData mode Number _B,,source_feature,False,False,other,dimensionless,,,
MagpieData mode Number _X,raw,0,MagpieData mode Number _X,,source_feature,False,False,other,dimensionless,,,
MagpieData mode Number formula,raw,0,MagpieData mode Number formula,,source_feature,False,False,other,dimensionless,,,
MagpieData mode Row _B,raw,0,MagpieData mode Row _B,,source_feature,False,False,other,dimensionless,,,
MagpieData mode Row _X,raw,0,MagpieData mode Row _X,,source_feature,False,False,other,dimensionless,,,
MagpieData mode Row formula,raw,0,MagpieData mode Row formula,,source_feature,False,False,other,dimensionless,,,
MagpieData mode SpaceGroupNumber _B,raw,0,MagpieData mode SpaceGroupNumber _B,,source_feature,False,False,other,dimensionless,,,
MagpieData mode SpaceGroupNumber _X,raw,0,MagpieData mode SpaceGroupNumber _X,,source_feature,False,False,other,dimensionless,,,
MagpieData mode SpaceGroupNumber formula,raw,0,MagpieData mode SpaceGroupNumber formula,,source_feature,False,False,other,dimensionless,,,
MagpieData range AtomicWeight _B,raw,0,MagpieData range AtomicWeight _B,,source_feature,False,False,other,dimensionless,,,
MagpieData range AtomicWeight _X,raw,0,MagpieData range AtomicWeight _X,,source_feature,False,False,other,dimensionless,,,
MagpieData range AtomicWeight formula,raw,0,MagpieData range AtomicWeight formula,,source_feature,False,False,other,dimensionless,,,
MagpieData range Column _B,raw,0,MagpieData range Column _B,,source_feature,False,False,other,dimensionless,,,
MagpieData range Column _X,raw,0,MagpieData range Column _X,,source_feature,False,False,other,dimensionless,,,
MagpieData range Column formula,raw,0,MagpieData range Column formula,,source_feature,False,False,other,dimensionless,,,
MagpieData range CovalentRadius _B,raw,0,MagpieData range CovalentRadius _B,,source_feature,False,False,covalent_radius,length_like,,,
MagpieData range CovalentRadius _X,raw,0,MagpieData range CovalentRadius _X,,source_feature,False,False,covalent_radius,length_like,,,
MagpieData range CovalentRadius formula,raw,0,MagpieData range CovalentRadius formula,,source_feature,False,False,covalent_radius,length_like,,,
MagpieData range Electronegativity _B,raw,0,MagpieData range Electronegativity _B,,source_feature,False,False,electronegativity,electronegativity,,,
MagpieData range Electronegativity _X,raw,0,MagpieData range Electronegativity _X,,source_feature,False,False,electronegativity,electronegativity,,,
MagpieData range Electronegativity formula,raw,0,MagpieData range Electronegativity formula,,source_feature,False,False,electronegativity,electronegativity,,,
MagpieData range GSbandgap _B,raw,0,MagpieData range GSbandgap _B,,source_feature,False,False,bandgap,energy_like,,,
MagpieData range GSbandgap _X,raw,0,MagpieData range GSbandgap _X,,source_feature,False,False,bandgap,energy_like,,,
MagpieData range GSbandgap formula,raw,0,MagpieData range GSbandgap formula,,source_feature,False,False,bandgap,energy_like,,,
MagpieData range GSmagmom _B,raw,0,MagpieData range GSmagmom _B,,source_feature,False,False,other,dimensionless,,,
MagpieData range GSmagmom _X,raw,0,MagpieData range GSmagmom _X,,source_feature,False,False,other,dimensionless,,,
MagpieData range GSmagmom formula,raw,0,MagpieData range GSmagmom formula,,source_feature,False,False,other,dimensionless,,,
MagpieData range GSvolume_pa _B,raw,0,MagpieData range GSvolume_pa _B,,source_feature,False,False,volume,length_like,,,
MagpieData range GSvolume_pa _X,raw,0,MagpieData range GSvolume_pa _X,,source_feature,False,False,volume,length_like,,,
MagpieData range GSvolume_pa formula,raw,0,MagpieData range GSvolume_pa formula,,source_feature,False,False,volume,length_like,,,
MagpieData range MeltingT _B,raw,0,MagpieData range MeltingT _B,,source_feature,False,False,other,dimensionless,,,
MagpieData range MeltingT _X,raw,0,MagpieData range MeltingT _X,,source_feature,False,False,other,dimensionless,,,
MagpieData range MeltingT formula,raw,0,MagpieData range MeltingT formula,,source_feature,False,False,other,dimensionless,,,
MagpieData range MendeleevNumber _B,raw,0,MagpieData range MendeleevNumber _B,,source_feature,False,False,other,dimensionless,,,
MagpieData range MendeleevNumber _X,raw,0,MagpieData range MendeleevNumber _X,,source_feature,False,False,other,dimensionless,,,
MagpieData range MendeleevNumber formula,raw,0,MagpieData range MendeleevNumber formula,,source_feature,False,False,other,dimensionless,,,
MagpieData range NUnfilled _B,raw,0,MagpieData range NUnfilled _B,,source_feature,False,False,unfilled,electron_count,,,
MagpieData range NUnfilled _X,raw,0,MagpieData range NUnfilled _X,,source_feature,False,False,unfilled,electron_count,,,
MagpieData range NUnfilled formula,raw,0,MagpieData range NUnfilled formula,,source_feature,False,False,unfilled,electron_count,,,
MagpieData range NValence _B,raw,0,MagpieData range NValence _B,,source_feature,False,False,valence,electron_count,,,
MagpieData range NValence _X,raw,0,MagpieData range NValence _X,,source_feature,False,False,valence,electron_count,,,
MagpieData range NValence formula,raw,0,MagpieData range NValence formula,,source_feature,False,False,valence,electron_count,,,
MagpieData range NdUnfilled _B,raw,0,MagpieData range NdUnfilled _B,,source_feature,False,False,d_unfilled,dimensionless,,,
MagpieData range NdUnfilled _X,raw,0,MagpieData range NdUnfilled _X,,source_feature,False,False,d_unfilled,dimensionless,,,
MagpieData range NdUnfilled formula,raw,0,MagpieData range NdUnfilled formula,,source_feature,False,False,d_unfilled,dimensionless,,,
MagpieData range NdValence _B,raw,0,MagpieData range NdValence _B,,source_feature,False,False,d_valence,electron_count,,,
MagpieData range NdValence _X,raw,0,MagpieData range NdValence _X,,source_feature,False,False,d_valence,electron_count,,,
MagpieData range NdValence formula,raw,0,MagpieData range NdValence formula,,source_feature,False,False,d_valence,electron_count,,,
MagpieData range NfValence _B,raw,0,MagpieData range NfValence _B,,source_feature,False,False,other,dimensionless,,,
MagpieData range NfValence _X,raw,0,MagpieData range NfValence _X,,source_feature,False,False,other,dimensionless,,,
MagpieData range NfValence formula,raw,0,MagpieData range NfValence formula,,source_feature,False,False,other,dimensionless,,,
MagpieData range NpUnfilled _B,raw,0,MagpieData range NpUnfilled _B,,source_feature,False,False,p_unfilled,dimensionless,,,
MagpieData range NpUnfilled _X,raw,0,MagpieData range NpUnfilled _X,,source_feature,False,False,p_unfilled,dimensionless,,,
MagpieData range NpUnfilled formula,raw,0,MagpieData range NpUnfilled formula,,source_feature,False,False,p_unfilled,dimensionless,,,
MagpieData range NpValence _B,raw,0,MagpieData range NpValence _B,,source_feature,False,False,p_valence,electron_count,,,
MagpieData range NpValence _X,raw,0,MagpieData range NpValence _X,,source_feature,False,False,p_valence,electron_count,,,
MagpieData range NpValence formula,raw,0,MagpieData range NpValence formula,,source_feature,False,False,p_valence,electron_count,,,
MagpieData range NsUnfilled _B,raw,0,MagpieData range NsUnfilled _B,,source_feature,False,False,s_unfilled,dimensionless,,,
MagpieData range NsUnfilled _X,raw,0,MagpieData range NsUnfilled _X,,source_feature,False,False,s_unfilled,dimensionless,,,
MagpieData range NsUnfilled formula,raw,0,MagpieData range NsUnfilled formula,,source_feature,False,False,s_unfilled,dimensionless,,,
MagpieData range NsValence _B,raw,0,MagpieData range NsValence _B,,source_feature,False,False,s_valence,electron_count,,,
MagpieData range NsValence _X,raw,0,MagpieData range NsValence _X,,source_feature,False,False,s_valence,electron_count,,,
MagpieData range NsValence formula,raw,0,MagpieData range NsValence formula,,source_feature,False,False,s_valence,electron_count,,,
MagpieData range Number _B,raw,0,MagpieData range Number _B,,source_feature,False,False,other,dimensionless,,,
MagpieData range Number _X,raw,0,MagpieData range Number _X,,source_feature,False,False,other,dimensionless,,,
MagpieData range Number formula,raw,0,MagpieData range Number formula,,source_feature,False,False,other,dimensionless,,,
MagpieData range Row _B,raw,0,MagpieData range Row _B,,source_feature,False,False,other,dimensionless,,,
MagpieData range Row _X,raw,0,MagpieData range Row _X,,source_feature,False,False,other,dimensionless,,,
MagpieData range Row formula,raw,0,MagpieData range Row formula,,source_feature,False,False,other,dimensionless,,,
MagpieData range SpaceGroupNumber _B,raw,0,MagpieData range SpaceGroupNumber _B,,source_feature,False,False,other,dimensionless,,,
MagpieData range SpaceGroupNumber _X,raw,0,MagpieData range SpaceGroupNumber _X,,source_feature,False,False,other,dimensionless,,,
MagpieData range SpaceGroupNumber formula,raw,0,MagpieData range SpaceGroupNumber formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData maximum X _B,raw,0,PymatgenData maximum X _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData maximum X _X,raw,0,PymatgenData maximum X _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData maximum X formula,raw,0,PymatgenData maximum X formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData maximum atomic_mass _B,raw,0,PymatgenData maximum atomic_mass _B,,source_feature,False,False,other,dimensionless,,,
