formation_energy,MagpieData avg_dev Electronegativity formula,PymatgenData std_dev X formula,DemlData std_dev electronegativity formula,(coval_r_B_coval_r_X)/(B_ionic_radius),MagpieData avg_dev NdValence formula,MagpieData range CovalentRadius formula,MagpieData mean NdValence formula,local_difference_in_NdValence_allsites,MagpieData maximum NdValence formula,MagpieData range NdValence formula,MagpieData range NUnfilled formula,MagpieData mean SpaceGroupNumber formula,(MagpieData maximum NUnfilled _B)/(MagpieData mean CovalentRadius _X),MagpieData maximum GSbandgap formula,(MagpieData maximum NUnfilled _B)/(MagpieData mean GSvolume_pa _X),MagpieData mean NUnfilled formula,MagpieData mean NsValence formula,DemlData minimum molar_vol formula,MagpieData avg_dev NUnfilled formula,MagpieData avg_dev NsValence formula,MagpieData mean NValence formula,MagpieData mode SpaceGroupNumber formula,MagpieData minimum NValence formula,density,MagpieData avg_dev GSbandgap formula,local_difference_in_Electronegativity,(MagpieData maximum SpaceGroupNumber _X)+(DemlData minimum molar_vol _B),MagpieData range GSbandgap formula,(MagpieData maximum SpaceGroupNumber _X)/(MagpieData maximum CovalentRadius _B),(coval_r_B_coval_r_X)-(MagpieData mean CovalentRadius _X),local_difference_in_CovalentRadius,Electronegativity_B-6X,DemlData range first_ioniz formula,MagpieData range SpaceGroupNumber formula,DemlData mean boiling_point formula,DemlData mean first_ioniz formula,std_dev ewald_site_energy,MagpieData maximum NdUnfilled formula,MagpieData maximum MendeleevNumber formula,MagpieData range NdUnfilled formula,maximum neighbor distance variation,MagpieData maximum NUnfilled formula,(coval_r_B_coval_r_X)+(MagpieData mean CovalentRadius _X),MagpieData maximum CovalentRadius formula,Electronegativity_B-X,DemlData range boiling_point formula,(coval_r_B_coval_r_X)/(MagpieData mean CovalentRadius _X),mean Average bond length,(B_ionic_radius)/(B_shannon_rad),MagpieData maximum GSmagmom _B
-1.4565476333333331,0.8823668639053255,1.2544901961250683,1.2544901961250687,1.8418326234603424,0.7100591715976331,64.0,0.4615384615384616,0.7854691240687914,2.0,2.0,7.0,119.3846153846154,0.0784313725490196,2.4930000000000003,0.3265639350954179,2.6153846153846154,1.8461538461538465,10.64,2.485207100591716,0.2603550295857988,5.384615384615384,64.0,1.0,2.7567279668192834,1.1801183431952664,1.5389712529988446,74.64,2.4930000000000003,0.4,-100.43137254901961,55.098970786378366,-17.42,755400,165.0,1146.5292307692307,998276.9230769232,4.341502695134702,8.0,94.0,8.0,0.1617620952011289,8.0,103.56862745098039,166.0,-1.62,3320.89,0.015378700499807762,2.5432212404755776,0.9903100775193798,2.25333333333e-05
-0.2866268444047614,0.062857142857143,0.1274754878398196,0.1274754878398196,0.9874552874200211,0.0,10.0,10.0,0.0,10.0,0.0,2.0,122.42857142857144,0.028985507246376812,0.4639999999999999,0.115063764502939,2.571428571428572,2.0,18.26,0.653061224489796,0.0,21.428571428571427,152.0,16.0,7.566034572273192,0.2272653061224489,0.1315781814084735,170.26,0.4639999999999999,1.027027027027027,-136.93478260869566,8.722540941581524,-10.425,166300,213.0,1534.2857142857142,799828.5714285715,10.145204801681796,0.0,90.0,0.0,0.1373654483888341,4.0,139.06521739130434,148.0,0.07499999999999973,761.0,0.007718966603654695,3.1955382947699333,0.9718468468468469,0.0
-0.2550612363333338,0.4272,0.6293250352560272,0.6293250352560272,1.2322695035460995,2.4,19.0,8.0,3.47647139363144,10.0,5.0,4.0,100.0,0.05,0.799,0.23148148148148145,3.6,1.6,7.23,1.92,0.4799999999999999,12.0,14.0,6.0,6.120041739765705,0.3835199999999999,0.830371875580019,21.23,0.799,0.10071942446043165,-118.84166666666667,17.727040040472318,-13.639999999999999,288100,215.0,1752.4,825760.0,9.098288570467377,5.0,89.0,5.0,0.1703081536318306,6.0,121.15833333333333,139.0,-0.8899999999999999,1986.0,0.00965277777777778,2.492682795898004,1.5284552845528454,0.0
-2.3850788056666667,1.0656,1.4895474897222751,1.4895474897222751,2.3264429132399793,1.8,149.0,1.0,1.6652120160735726,10.0,10.0,2.0,90.7,0.030303030303030304,0.4639999999999999,0.21965952773201536,1.4,2.0,17.36,0.8399999999999999,0.0,5.8,12.0,2.0,5.80012047689018,0.08352,1.873006613584004,32.46,0.4639999999999999,0.06818181818181818,-63.621212121212125,90.48217577874004,-19.09,811000,217.0,784.52,1034830.0,46.78101190760663,0.0,90.0,0.0,0.1157325706574428,2.0,68.37878787878788,215.0,-1.89,2052.8,0.03604224058769513,2.2021410462355986,1.310897435897436,0.0
-1.0861835340000006,0.5616,0.8016679041669489,0.8016679041669489,1.2322695035460995,3.3599999999999994,87.0,7.2,5.058935687337415,10.0,9.0,7.0,93.0,0.05,0.799,0.23148148148148145,4.2,1.8,7.23,2.64,0.3199999999999999,11.4,14.0,3.0,6.398202823030442,0.3835199999999999,0.7876621364851752,21.23,0.799,0.10071942446043165,-118.84166666666667,17.450019256630796,-13.639999999999999,402900,215.0,1912.2,802800.0,9.24852499922349,9.0,89.0,9.0,0.1388225260702024,9.0,121.15833333333333,207.0,-0.8899999999999999,2785.0,0.00965277777777778,2.6887979245949434,1.5284552845528454,0.0
-2.737254706111111,1.2162962962962962,1.844111606993356,1.8441116069933563,2.5997636578492864,1.9753086419753088,187.0,1.1111111111111112,1.6985513172874502,10.0,10.0,3.0,85.88888888888889,0.07017543859649122,1.97,0.41205253669842906,1.3333333333333333,1.7777777777777777,11.2,0.5925925925925924,0.345679012345679,6.4444444444444455,15.0,1.0,3.6985455727653127,0.8188148148148149,2.51,28.630000000000003,1.97,0.09036144578313253,-54.49122807017544,86.0,-22.41,1305300,214.0,633.6866666666667,1302166.6666666667,22.37020612185151,0.0,93.0,0.0,0.1841115094637253,4.0,59.50877192982456,244.0,-2.51,3007.97,0.04401354262850107,2.0362272703721307,1.2451612903225806,0.0
-1.7903493383333338,0.605,0.8555992052357225,0.8555992052357225,1.0456181305320496,5.0,77.0,5.0,10.0,10.0,10.0,2.0,190.5,0.0,0.4639999999999999,0.0,1.0,2.0,20.46,1.0,0.0,9.0,152.0,2.0,4.951745512962581,0.2319999999999999,1.21,190.16,0.4639999999999999,0.7069767441860465,-136.44202898550725,77.0,-11.71,366400,77.0,1702.0,686100.0,0.0,0.0,90.0,0.0,2.507867272098734e-16,2.0,139.55797101449275,215.0,-1.21,882.0,0.011289645032556186,3.5415686850000005,1.1037037037037036,0.0
-0.4906501972857143,0.2591999999999999,0.3848561883538909,0.3848561883538909,1.2903225806451613,3.3600000000000003,25.0,7.2,4.457269336921568,10.0,10.0,2.0,54.6,0.03333333333333333,1.625,0.15432098765432098,2.6,2.0,7.09,0.72,0.0,12.2,14.0,5.0,4.664395527860168,0.32824,0.7071735762602095,21.09,1.625,0.10606060606060606,-118.9,12.399515231684456,-13.469999999999999,249300,227.0,1311.6,919460.0,5.575663513961056,4.0,89.0,4.0,0.2239334812998197,4.0,121.1,132.0,-0.7199999999999998,2584.0,0.009166666666666667,2.2966810690981485,1.3975409836065575,2.1106628
-1.5255188724999995,0.5449999999999999,0.6991137246542939,0.6991137246542939,1.8294323379069142,3.625,65.0,2.75,4.052749426784654,10.0,10.0,7.0,132.0,0.08571428571428572,2.202,0.3490147604159093,4.5,2.0,15.0,2.5,0.0,10.5,70.0,3.0,5.42141554456823,1.101,1.2199999999999998,85.0,2.202,0.4117647058823529,-103.38095238095238,64.99999999999999,-14.120000000000001,410200,124.0,1571.185,805425.0,11.746555342663203,9.0,88.0,9.0,0.1225640573710433,9.0,106.61904761904762,170.0,-1.22,2385.13,0.015419501133786848,2.78286917997179,1.1879194630872483,6.35e-06
-0.5100044505555553,0.3999999999999999,0.5211525688318153,0.5211525688318153,1.1084896828071753,0.0,28.0,10.0,0.0,10.0,0.0,2.0,76.0,0.023255813953488372,1.457,0.09339490478913164,2.0,2.0,19.78,0.6666666666666666,0.0,20.666666666666668,12.0,16.0,6.0744984457490645,0.5444444444444444,0.4921009237165019,173.31,1.457,1.027027027027027,-127.85271317829458,18.478222211904736,-13.16,436900,140.0,1143.3333333333333,904066.6666666666,9.389390772535538,0.0,95.0,0.0,0.1587668765289317,3.0,130.14728682170542,148.0,-0.5099999999999998,1505.0,0.008893696292290127,3.0854379930088265,1.0048543689320388,0.0
