file_name,formula,formation_energy
ICSD-633869.cif,Te8 Fe4,-0.5437214877777775
ICSD-259109.cif,Na2 Nb2 O6,-2.5904006820000007
ICSD-653072.cif,Ti2 Te2,-0.612556749166667
ICSD-416325.cif,Sr4 Sc8 Te16,-1.390823458095238
ICSD-430537.cif,Y2 K6 Si4 O14,-2.7262550188461536
ICSD-281039.cif,Sn As2 S6 K2,-0.7550017003409092
ICSD-281440.cif,Hg4 Cs4 Y4 Se12,-1.2500806666666666
ICSD-264199.cif,Bi12 Te6 Br6,-0.3590499620833333
ICSD-253817.cif,Ba6 Zn2 Ir4 O18,-1.7239691820000005
ICSD-262626.cif,Co4 Sb8 O16,-1.4187660225
ICSD-261341.cif,Ca4 Tc4 O12,-2.104346054500001
ICSD-261909.cif,Co8 As4 O20 H4,-1.333798308055556
ICSD-602041.cif,Fe Ga2 S4,-0.9868221989285716
ICSD-257885.cif,La8 Ni6 O20,-2.4212537664705884
ICSD-606649.cif,Y6 Co2 Al2 S14,-1.8289987089583333
ICSD-632800.cif,Fe2 Nb8 S16,-1.3465408576923072
ICSD-411721.cif,As4 Na20 O20,-1.5826576940909094
ICSD-264213.cif,Ba12 S28 Zr8,-2.0787984729166658
ICSD-290252.cif,V2 Li4 F12,-2.9444891682407417
ICSD-410802.cif,Tl2 Ti F6,-2.7847492321296285
ICSD-409724.cif,Sc4 P6 H6 O18,-2.2778547165756304
ICSD-411865.cif,Cu4 Na20 O16 H8,-1.2519460952083332
ICSD-280190.cif,Cs8 Pd4 I24,-0.8222760733333333
ICSD-651267.cif,Y3 Tl3 S6,-1.645196242083334
ICSD-253967.cif,Sr4 Rh4 O12,-1.7012310375000006
ICSD-254432.cif,Cr4 Y4 O12,-2.6790152945
ICSD-411877.cif,Au8 F40,-0.7736081979166668
ICSD-659165.cif,Ba4 Cu4 Sc4 S12,-1.790963745416666
ICSD-253887.cif,Cu2 Ta4 O12,-2.3329322397222234
ICSD-634670.cif,Ga6 Mn3 S12,-0.7195709904474553
